condition,policy,strategy,target_reach,wom_receiver_scale,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
flag_only_credibility_r1_0,flag_only,credibility,1.0,0.5,target_unique_reposters_p400,30,14.566666666666666,11.10821207390853,-8.15217793798745,37.285511271320786,0.23941722477949928,0.20003050199791256,485.43333333333334,500.0,3.000755338872485,1.0
flag_only_informational_r1_0,flag_only,informational,1.0,0.5,fake_repost_share_all,30,0.03916633333333333,0.002524406200046903,0.034003342944213824,0.04432932372245284,2.832650870666085,1.4015818605283252e-15,0.27070483333333334,0.30987116666666664,14.468280027015892,3.784271023426478e-14
flag_only_informational_r1_0,flag_only,informational,1.0,0.5,fake_repost_share_final100,30,0.025756666666666664,0.0035094650453045646,0.01857900472798118,0.03293432860535215,1.3399485066201806,4.3827657708653e-08,0.31594999999999995,0.34170666666666666,8.15213377644142,8.765531541730601e-07
flag_only_informational_r1_0,flag_only,informational,1.0,0.5,target_share_all,30,0.09102583333333336,0.005371078040313146,0.08004074531507689,0.10201092135158983,3.0941586188201913,1.3852118810845563e-16,0.09035983333333333,0.1813856666666667,100.73705315230406,3.740072078928302e-15
flag_only_informational_r1_0,flag_only,informational,1.0,0.5,target_share_final100,30,0.06091266666666666,0.007292831654980987,0.04599715119081585,0.07582818214251746,1.524933119238137,3.3113721285092767e-09,0.18585533333333334,0.246768,32.77423659261862,6.622744257018554e-08
flag_only_informational_r1_0,flag_only,informational,1.0,0.5,fake_repost_share_decisions,30,0.03917443154388212,0.002524882450318459,0.03401046711359016,0.044338395974174084,2.832702149667716,1.4009227943100798e-15,0.2707613151231377,0.3099357466670199,14.468252795295461,3.7824915446372155e-14
flag_only_informational_r1_0,flag_only,informational,1.0,0.5,target_share_decisions,30,0.09104461400656375,0.00537205553071898,0.08005752679595436,0.10203170121717313,3.0942338890325214,1.3843216978095555e-16,0.09037889702534055,0.18142351103190432,100.73658453813232,3.7376685840858e-15
flag_only_informational_r1_0,flag_only,informational,1.0,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9997921666666667,0.9997921666666667,0.0,
flag_only_informational_r1_0,flag_only,informational,1.0,0.5,cumulative_fake_reposts,30,7833.266666666666,504.8812400093808,6800.6685888427655,8865.864744490567,2.8326508706660842,1.401581860528338e-15,54140.96666666667,61974.23333333333,14.468280027015895,3.784271023426513e-14
flag_only_informational_r1_0,flag_only,informational,1.0,0.5,target_unique_reposters_p400,30,14.566666666666666,11.10821207390853,-8.15217793798745,37.285511271320786,0.23941722477949928,0.20003050199791256,485.43333333333334,500.0,3.000755338872485,1.0
flag_only_combined_r1_0,flag_only,combined,1.0,0.5,fake_repost_share_all,30,0.08338733333333331,0.002989901131773051,0.07727229891158495,0.08950236775508168,5.091932415591765,1.7014983851974253e-22,0.27070483333333334,0.3540921666666667,30.803784441725885,6.976143379309444e-21
flag_only_combined_r1_0,flag_only,combined,1.0,0.5,fake_repost_share_final100,30,0.06119399999999999,0.004105888247243292,0.05279651564945372,0.06959148435054627,2.721078620561969,3.963894980248388e-15,0.31594999999999995,0.37714400000000003,19.36825447064409,1.1891684940745165e-13
