phase,memory,wom,fake_effect,true_effect,contacts,friends,source_reach,target_reach,cell,timing,scope,fake,fake_se,fake_low,fake_high,n_pairs,target,target_se,target_low,target_high,cumulative,cumulative_se,cumulative_low,cumulative_high
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_non-credibility_p50,50,non-credibility,0.003965909090909086,0.00018672636540454938,0.003549856821461024,0.004381961360357148,11,0.007877272727272764,0.0003563618970272975,0.007083248939138711,0.008671296515406818,447.09090909090907,16.115184564680575,411.18404025541474,482.9977779264034
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_all_p100,100,all,-0.0008318181818181735,0.00015678194574757275,-0.0011811501264283445,-0.00048248623720800244,11,0.00928636363636361,0.00041439116945503107,0.008363042571780827,0.010209684700946393,-317.45454545454544,17.44308335773218,-356.3201571823437,-278.5889337267472
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_all_p1,1,all,-0.003575000000000006,0.0009502332249601562,-0.005692251566981943,-0.001457748433018069,11,0.0824590909090909,0.003272256437090871,0.07516804920794655,0.08975013261023525,-1842.7272727272727,117.30652085332146,-2104.102489431896,-1581.352056022649
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_all_p25,25,all,-0.0017909090909090956,0.00030829945462003156,-0.0024778430837941673,-0.001103975098024024,11,0.028397727272727245,0.0008486650917862301,0.026506783609393847,0.030288670936060642,-939.0,43.677121117249804,-1036.3186905042544,-841.6813094957456
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_all_p50,50,all,-0.0013477272727272745,0.00024246495870196839,-0.0018879728674563777,-0.0008074816779981714,11,0.01872499999999998,0.0005548955675702329,0.017488615627101772,0.01996138437289819,-646.8181818181819,35.333172201930005,-725.5453955652235,-568.0909680711402
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_credibility_p100,100,credibility,-0.00047727272727272516,6.355514297321631e-05,-0.0006188824105748909,-0.00033566304397055944,11,0.0009886363636363547,6.820454166792594e-05,0.0008366671744641323,0.0011406055528085772,-261.45454545454544,11.857765876009186,-287.8752943006386,-235.03379660845232
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_credibility_p1,1,credibility,-0.0007977272727272732,0.00022704761578733375,-0.0013036208867138837,-0.00029183365874066274,11,0.002904545454545454,0.00015291925163517234,0.0025638201287604607,0.003245270780330447,-1077.5454545454545,28.16811983797661,-1140.3079367438554,-1014.7829723470535
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_credibility_p25,25,credibility,-0.0005386363636363536,8.83795814270637e-05,-0.0007355583427362787,-0.00034171438453642843,11,0.0017409090909090727,9.202721480335316e-05,0.0015358596781656353,0.0019459585036525101,-697.4545454545455,23.299381043813018,-749.3688015854977,-645.5402893235932
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_credibility_p50,50,credibility,-0.00044772727272727135,8.883427787526742e-05,-0.0006456623786492994,-0.0002497921668052433,11,0.0013659090909090728,7.878860722273849e-05,0.0011903571340622027,0.001541461047755943,-502.1818181818182,23.959366428798184,-555.566613390799,-448.79702297283734
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_non-credibility_p100,100,non-credibility,0.0018863636363636255,0.00012855683375120097,0.0015999211603942342,0.002172806112333017,11,0.003974999999999982,0.0002580961765769334,0.0033999258814198068,0.004550074118580157,209.1818181818182,8.02475508753233,191.3015495936129,227.06208677002348
